lag_center_ns,raw_pair_count
-2499.000,0
-2497.000,0
-2495.000,0
-2493.000,0
-2491.000,0
-2489.000,0
-2487.000,0
-2485.000,0
-2483.000,0
-2481.000,0
-2479.000,0
-2477.000,0
-2475.000,0
-2473.000,0
-2471.000,0
-2469.000,0
-2467.000,0
-2465.000,0
-2463.000,0
-2461.000,0
-2459.000,0
-2457.000,0
-2455.000,0
-2453.000,0
-2451.000,0
-2449.000,0
-2447.000,0
-2445.000,0
-2443.000,0
-2441.000,0
-2439.000,0
-2437.000,0
-2435.000,0
-2433.000,0
-2431.000,0
-2429.000,0
-2427.000,0
-2425.000,0
-2423.000,0
-2421.000,0
-2419.000,0
-2417.000,0
-2415.000,0
-2413.000,0
-2411.000,0
-2409.000,0
-2407.000,0
-2405.000,0
-2403.000,0
-2401.000,0
-2399.000,0
-2397.000,0
-2395.000,0
-2393.000,0
-2391.000,0
-2389.000,0
-2387.000,0
-2385.000,0
-2383.000,0
-2381.000,0
-2379.000,0
-2377.000,0
-2375.000,0
-2373.000,0
-2371.000,0
-2369.000,0
-2367.000,0
-2365.000,0
-2363.000,0
-2361.000,0
-2359.000,0
-2357.000,0
-2355.000,0
-2353.000,0
-2351.000,0
-2349.000,0
-2347.000,0
-2345.000,0
-2343.000,0
-2341.000,0
-2339.000,0
-2337.000,0
-2335.000,0
-2333.000,0
-2331.000,0
-2329.000,0
-2327.000,0
-2325.000,0
-2323.000,0
-2321.000,0
-2319.000,0
-2317.000,0
-2315.000,0
-2313.000,0
-2311.000,0
-2309.000,0
-2307.000,0
-2305.000,0
-2303.000,0
-2301.000,0
-2299.000,0
-2297.000,0
-2295.000,0
-2293.000,0
-2291.000,0
-2289.000,0
-2287.000,0
-2285.000,0
-2283.000,0
-2281.000,0
-2279.000,0
-2277.000,0
-2275.000,0
-2273.000,0
-2271.000,0
-2269.000,0
-2267.000,0
-2265.000,0
-2263.000,0
-2261.000,0
-2259.000,0
-2257.000,0
-2255.000,0
-2253.000,0
-2251.000,0
-2249.000,0
-2247.000,0
-2245.000,0
-2243.000,0
-2241.000,0
-2239.000,0
-2237.000,0
-2235.000,0
-2233.000,0
-2231.000,0
-2229.000,0
-2227.000,0
-2225.000,0
-2223.000,0
-2221.000,0
-2219.000,0
-2217.000,0
-2215.000,0
-2213.000,0
-2211.000,0
-2209.000,0
-2207.000,0
-2205.000,0
-2203.000,0
-2201.000,0
-2199.000,0
-2197.000,0
-2195.000,0
-2193.000,0
-2191.000,0
-2189.000,0
-2187.000,0
-2185.000,0
-2183.000,0
-2181.000,0
-2179.000,0
-2177.000,0
-2175.000,0
-2173.000,0
-2171.000,0
-2169.000,0
-2167.000,0
-2165.000,0
-2163.000,0
-2161.000,0
-2159.000,0
-2157.000,0
-2155.000,0
-2153.000,0
-2151.000,0
-2149.000,0
-2147.000,0
-2145.000,0
-2143.000,0
-2141.000,0
-2139.000,0
-2137.000,0
-2135.000,0
-2133.000,0
-2131.000,0
-2129.000,0
-2127.000,0
-2125.000,0
-2123.000,0
-2121.000,0
-2119.000,0
-2117.000,0
-2115.000,0
-2113.000,0
-2111.000,0
-2109.000,0
-2107.000,0
-2105.000,0
-2103.000,0
-2101.000,0
-2099.000,0
-2097.000,0
-2095.000,0
-2093.000,0
-2091.000,0
-2089.000,0
-2087.000,0
-2085.000,0
-2083.000,0
-2081.000,0
-2079.000,0
-2077.000,0
-2075.000,0
-2073.000,0
-2071.000,0
-2069.000,0
-2067.000,0
-2065.000,0
-2063.000,0
-2061.000,0
-2059.000,0
-2057.000,0
-2055.000,0
-2053.000,0
-2051.000,0
-2049.000,0
-2047.000,0
-2045.000,0
-2043.000,0
-2041.000,0
-2039.000,0
-2037.000,0
-2035.000,0
-2033.000,0
-2031.000,0
-2029.000,0
-2027.000,0
-2025.000,0
-2023.000,0
-2021.000,0
-2019.000,0
-2017.000,0
-2015.000,0
-2013.000,0
-2011.000,0
-2009.000,0
-2007.000,0
-2005.000,0
-2003.000,0
-2001.000,0
-1999.000,0
-1997.000,0
-1995.000,0
-1993.000,0
-1991.000,0
-1989.000,0
-1987.000,0
-1985.000,0
-1983.000,0
-1981.000,0
-1979.000,0
-1977.000,0
-1975.000,0
-1973.000,0
-1971.000,0
-1969.000,0
-1967.000,0
-1965.000,0
-1963.000,0
-1961.000,0
-1959.000,0
-1957.000,0
-1955.000,0
-1953.000,0
-1951.000,0
-1949.000,0
-1947.000,0
-1945.000,0
-1943.000,0
-1941.000,0
-1939.000,0
-1937.000,0
-1935.000,0
-1933.000,0
-1931.000,0
-1929.000,0
-1927.000,0
-1925.000,0
-1923.000,0
-1921.000,0
-1919.000,0
-1917.000,0
-1915.000,0
-1913.000,0
-1911.000,0
-1909.000,0
-1907.000,0
-1905.000,0
-1903.000,0
-1901.000,0
-1899.000,0
-1897.000,0
-1895.000,0
-1893.000,0
-1891.000,0
-1889.000,0
-1887.000,0
-1885.000,0
-1883.000,0
-1881.000,0
-1879.000,0
-1877.000,0
-1875.000,0
-1873.000,0
-1871.000,0
-1869.000,0
-1867.000,0
-1865.000,0
-1863.000,0
-1861.000,0
-1859.000,0
-1857.000,0
-1855.000,0
-1853.000,0
-1851.000,0
-1849.000,0
-1847.000,0
-1845.000,0
-1843.000,0
-1841.000,0
-1839.000,0
-1837.000,0
-1835.000,0
-1833.000,0
-1831.000,0
-1829.000,0
-1827.000,0
-1825.000,0
-1823.000,0
-1821.000,1
-1819.000,0
-1817.000,0
-1815.000,1
-1813.000,0
-1811.000,0
-1809.000,0
-1807.000,0
-1805.000,1
-1803.000,0
-1801.000,0
-1799.000,0
-1797.000,0
-1795.000,0
-1793.000,0
-1791.000,0
-1789.000,0
-1787.000,0
-1785.000,0
-1783.000,0
-1781.000,0
-1779.000,0
-1777.000,0
-1775.000,0
-1773.000,0
-1771.000,0
-1769.000,0
-1767.000,0
-1765.000,0
-1763.000,0
-1761.000,0
-1759.000,0
-1757.000,0
-1755.000,0
-1753.000,0
-1751.000,0
-1749.000,0
-1747.000,0
-1745.000,0
-1743.000,0
-1741.000,0
-1739.000,0
-1737.000,0
-1735.000,0
-1733.000,0
-1731.000,0
-1729.000,0
-1727.000,0
-1725.000,0
-1723.000,0
-1721.000,0
-1719.000,0
-1717.000,0
-1715.000,0
-1713.000,0
-1711.000,0
-1709.000,0
-1707.000,0
-1705.000,0
-1703.000,0
-1701.000,0
-1699.000,0
-1697.000,0
-1695.000,0
-1693.000,0
-1691.000,0
-1689.000,0
-1687.000,0
-1685.000,0
-1683.000,0
-1681.000,0
-1679.000,0
-1677.000,0
-1675.000,0
-1673.000,0
-1671.000,0
-1669.000,0
-1667.000,0
-1665.000,0
-1663.000,0
-1661.000,0
-1659.000,0
-1657.000,0
-1655.000,0
-1653.000,0
-1651.000,0
-1649.000,0
-1647.000,0
-1645.000,0
-1643.000,0
-1641.000,0
-1639.000,0
-1637.000,0
-1635.000,0
